Fecha,Codigo Cliente,Codigo Vendedor,Codigo Producto,Precio Unitario,Cantidad
2022-05-01,15,OP-407,GFTR-23976123,2203.24,1
2022-05-01,49,A0-000,HUGG-62460410,1199.0,1
2022-05-01,44,A0-000,KGIG-43066188,1010.0,1
2022-05-01,3,OP-407,LIRP-86769322,1849.0,2
2022-05-01,63,OP-407,ANDA-66334288,1065.0,1
2022-05-01,16,FD-416,DLND-70093369,1376.55,1
2022-05-01,36,JB-121,PPUE-90392496,1352.04,1
2022-05-01,70,FD-416,MJHO-80099668,1399.0,1
2022-05-01,68,CG-544,OTCH-45828677,1349.0,1
2022-05-01,86,GE-024,NPMN-52128081,999.0,2
2022-05-01,45,FD-416,JIGF-80655609,2299.0,1
2022-05-01,28,OP-407,FFJT-60537241,1735.0,1
2022-05-01,14,JB-121,DLND-70093369,1376.55,1
2022-05-01,100,OP-407,JGAG-82976184,1156.2,2
2022-05-01,86,A0-000,AJFA-72722915,1899.0,1
2022-05-01,63,FD-416,CRTA-55546797,1299.0,1
2022-05-01,31,OP-407,BUEF-47679669,1376.55,1
2022-05-01,64,OP-407,ROOM-02360299,1399.0,1
2022-05-01,95,JB-121,ODUL-29947841,1649.0,1
2022-05-01,35,FD-416,BILP-16651927,2599.0,2
2022-05-01,43,OP-407,HIAD-48792587,1049.0,1
2022-05-01,63,GE-024,FUON-77253124,838.0,1
2022-05-01,32,FD-416,BMUT-81259162,2299.0,1
2022-05-01,98,CG-544,JCOP-00843700,1322.0,1
2022-05-01,15,GE-024,MCRH-78811222,1599.0,1
2022-05-01,53,OP-407,FUOM-63000644,668.84,1
2022-05-01,88,GE-024,STSA-01304472,1199.0,1
2022-05-01,92,FD-416,GFGG-84471802,999.0,1
2022-05-01,15,SP-816,RRSB-17555937,1199.0,3
2022-05-01,83,GE-024,NIIH-68733033,2623.0,1
2022-05-01,11,SP-816,DDIF-61445680,589.0,1
2022-05-01,98,FD-416,RDHP-10685612,1499.0,1
2022-05-01,100,A0-000,ZHRK-27016814,1199.0,1
2022-05-01,97,FD-416,CDME-49499732,1352.0,1
2022-05-01,10,OP-407,DKZN-60743484,1777.0,1
2022-05-01,95,A0-000,DKFG-50353364,1147.0,1
2022-05-01,27,GE-024,FMJN-93401231,1799.0,1
2022-05-01,82,OP-407,JEBC-05740519,1909.0,1
2022-05-01,60,HC-572,ZHOA-93812648,1049.0,1
2022-05-01,41,SP-816,MLGO-83204407,1199.0,1
2022-05-01,9,GE-024,HOCI-76900230,1999.0,3
2022-05-01,97,GE-024,UIEN-63697044,2249.0,1
2022-05-01,27,CG-544,HZFF-45084295,1147.0,1
2022-05-01,68,HC-572,JEBC-05740519,1909.0,1
2022-05-01,10,A0-000,ZLND-86025282,1399.0,1
2022-05-01,79,GE-024,EUFI-20064017,1049.0,3
2022-05-01,59,OP-407,LBFP-52113836,1699.0,1
2022-05-01,56,SP-816,NMDG-75729213,1499.0,1
2022-05-01,100,HC-572,HIAD-48792587,1049.0,1
2022-05-01,75,SP-816,NGBZ-17014132,1699.0,1
2022-05-01,82,GE-024,PSAO-83137839,599.0,1
2022-05-01,90,A0-000,KMIJ-00871900,596.56,1
2022-05-01,91,FD-416,IKGM-18461508,1349.0,1
2022-05-01,12,FD-416,CDME-49499732,1352.0,1
2022-05-01,100,NG-218,JFHJ-40000047,1699.0,1
2022-05-01,49,HC-572,PIZO-68543963,1799.0,1
2022-05-01,43,OP-407,ZCRR-89034121,1010.0,1
2022-05-01,49,A0-000,HBJZ-00730147,2249.0,1
2022-05-01,47,GE-024,MLGO-83204407,1199.0,1
2022-05-01,8,GE-024,LRIG-70396789,1049.0,1
2022-05-01,41,OP-407,ELGO-41774833,1999.0,1
2022-05-01,64,FD-416,GAOO-91450976,1065.0,1
2022-05-01,82,GE-024,OJKR-92119481,799.0,1
2022-05-01,15,SP-816,FFBO-63998315,1899.0,1
2022-05-01,96,GE-024,EIJS-29111153,459.0,1
2022-05-01,28,NG-218,TPAR-13422529,1799.0,3
2022-05-01,36,NG-218,DAOJ-70783908,999.0,1
2022-05-01,90,NG-218,BSCN-75053929,1499.0,1
2022-05-01,55,JB-121,AJFA-72722915,1899.0,3
2022-05-01,60,A0-000,CMZM-99516608,1065.0,1
2022-05-01,57,A0-000,AJIN-28307314,1049.0,2
2022-05-01,36,JB-121,NFGH-30844240,749.0,1
2022-05-01,55,GE-024,HIAD-48792587,1049.0,1
2022-05-01,58,SP-816,NRRJ-45060319,2299.0,1
2022-05-01,81,CG-544,AJIN-28307314,1049.0,1
2022-05-01,33,GE-024,PFOO-55967241,1079.2,1
2022-05-01,18,JB-121,ARRM-32731405,1599.0,1
2022-05-01,34,OP-407,CMZM-99516608,1065.0,2
2022-05-01,43,NG-218,NRZD-54945625,1879.0,1
2022-05-01,44,SP-816,BILP-16651927,2599.0,1
2022-05-01,17,A0-000,FMKS-11214781,1649.0,1
2022-05-01,62,SP-816,USLH-96231471,259.0,2
2022-05-01,58,GE-024,MCPB-02799714,503.2,1
2022-05-01,45,GE-024,OKOK-00150254,1499.0,1
2022-05-01,34,A0-000,AEAO-82958165,749.0,3
2022-05-01,89,NG-218,LIRP-86769322,1849.0,1
2022-05-01,47,A0-000,ROHJ-69879352,2623.0,1
2022-05-01,64,JB-121,HIGL-47949907,2429.0,1
2022-05-01,98,A0-000,OIUA-29366728,1199.0,1
2022-05-01,36,A0-000,EUFI-20064017,1049.0,1
2022-05-01,68,GE-024,ONEL-29069744,2599.0,1
2022-05-01,48,A0-000,CBIN-43853515,1439.0,1
2022-05-01,85,JB-121,OMPO-14358634,749.0,1
2022-05-01,2,SP-816,MBEG-82149230,629.0,1
2022-05-01,7,A0-000,EIJS-29111153,459.0,1
2022-05-01,19,SP-816,FFJT-60537241,1735.0,1
2022-05-01,22,FD-416,JGJD-63888313,1499.0,1
2022-05-01,85,HC-572,MFSD-20890239,1299.0,1
2022-05-01,7,FD-416,LZLA-05880311,1640.0,1
2022-05-01,25,JB-121,SMTF-56345724,1653.0,1
2022-05-01,25,OP-407,JRKG-55981425,749.0,1
2022-05-01,47,JB-121,ZSMN-65880433,2499.0,2
2022-05-01,25,FD-416,ZFDJ-86971026,799.0,1
2022-05-01,39,FD-416,KCBU-77902735,1749.0,1
2022-05-01,11,A0-000,ETBL-60400007,999.0,1
2022-05-01,46,A0-000,FSIN-86955267,1199.0,1
2022-05-01,26,A0-000,DNKZ-67343034,999.0,1
2022-05-01,11,GE-024,AURL-38658496,999.0,1
2022-05-01,13,SP-816,TLAM-72565058,2429.0,1
2022-05-01,13,SP-816,IBTH-36264981,1799.0,1
2022-05-01,31,FD-416,IMBD-34700567,1634.0,1
2022-05-01,11,NG-218,NUMK-90380496,449.0,3
2022-05-01,30,FD-416,NRZD-54945625,1879.0,1
2022-05-01,4,FD-416,ZNAG-97936399,1735.0,3
2022-05-01,61,JB-121,SAMO-45723770,1549.0,1
2022-05-01,90,HC-572,FFBO-63998315,1899.0,2
2022-05-01,16,A0-000,IJBT-92284133,239.2,1
